Land_area,Year_build,Bathrooms,Bedrooms,Driveway_size,Lounge_space,Parking_capacity,Rating,HousePrice
9591,26/06/1950,2,3,856,1713,3,5,274900
8546,25/06/1950,2,2,440,1121,2,5,140000
10125,30/05/1950,2,3,473,1279,2,6,171500
7000,07/04/1950,2,2,398,865,1,6,112000
4438,26/06/1950,NaN,1,420,848,2,5,149000
3500,30/04/1950,1,2,240,720,1,7,110000
11851,12/06/1950,2,3,500,1442,2,5,180500
13673,15/05/1950,1,3,349,1696,1,5,143900
12493,13/05/1950,1,3,NaN,1100,1,5,141000
14364,10/06/1950,2,3,454,1180,2,5,277000
8250,17/05/1950,1,3,504,1092,2,7,145000
5604,08/04/1950,1,2,0,864,0,6,98000
10420,01/07/1950,2,3,460,1212,2,5,186000
8640,01/07/1950,2,3,644,932,2,5,252678
13568,17/06/1950,1,3,576,990,2,5,156000
10900,30/05/1950,1,3,299,689,1,7,161750
10011,10/05/1950,1,2,447,1236,1,6,134450
8450,26/06/1950,2,3,484,1436,2,5,210000
9906,08/04/1950,1,3,210,810,1,4,107000
15660,22/04/1950,1,3,431,1137,2,9,311500
3010,27/06/1950,2,2,438,1248,2,5,167240
8990,18442,2,2,675,1498,2,5,204900
8068,24/06/1950,2,4,390,1010,2,5,200000
11475,28/05/1950,2,3,434,811,2,6,179900
10500,24/05/1950,1,2,576,864,2,6,97000
13472,25/06/1950,2,3,968,2392,3,5,386250
1680,24/05/1950,2,3,280,630,1,5,112000
9950,17/06/1950,2,4,721,1214,3,5,290000
1869,23/05/1950,1,2,280,483,1,6,106000
8521,20/05/1950,1,3,336,912,1,5,125000
3182,27/06/1950,2,2,430,1555,2,5,192500
8760,12/05/1950,1,3,312,1194,1,6,148000
15138,17/06/1950,2,4,810,1490,3,5,403000
1680,25/05/1950,1,2,288,483,1,5,94500
10650,29/05/1950,1,3,308,894,1,6,128200
7851,24/06/1950,2,4,440,860,2,5,216500
1680,24/05/1950,1,2,264,483,1,3,89500
8773,26/06/1950,2,3,494,1414,2,5,185500
9453,15/06/1950,2,3,457,1014,2,7,194500
12030,29/06/1950,2,3,818,1694,3,5,318000
8741,28/04/1950,1,3,220,798,1,4,113000
9000,30/06/1950,2,3,750,1566,2,5,262500
3880,28/04/1950,1,2,0,866,0,9,110500
5000,14/03/1950,1,3,352,889,1,4,79000
10762,02/06/1950,1,3,288,626,1,6,120000
8880,16/06/1950,2,3,463,1222,2,5,205000
10400,10/06/1950,2,3,604,1872,2,5,241500
9142,24/03/1950,2,4,440,908,1,8,137000
11310,07/05/1950,1,2,451,1375,2,5,140000
11317,25/06/1950,2,3,500,840,2,5,180000
159000,11/05/1950,2,4,389,1444,2,7,277000
5350,23/04/1950,1,3,0,1306,0,2,76500
4750,28/06/1950,2,2,538,1625,2,5,235000
8366,26/06/1950,2,3,520,798,2,5,173000
9350,17/05/1950,2,3,309,1302,1,7,158000
8400,10/05/1950,1,3,294,1314,1,6,145000
8738,21/06/1950,2,4,429,1005,2,5,230000
8791,25/06/1950,2,3,673,864,2,5,207500
8814,28/06/1950,2,3,660,1604,2,5,220000
12435,23/06/1950,2,3,564,963,2,5,231500
12702,09/05/1950,1,2,308,882,1,5,97000
19296,15/05/1950,1,3,884,1382,2,5,176000
9588,29/06/1950,2,3,868,1482,3,5,276000
8471,30/05/1950,1,3,492,1212,2,7,151000
5500,12/04/1950,1,3,484,926,2,7,130000
5232,08/04/1950,1,2,504,764,2,5,73000
12090,03/06/1950,2,3,576,1422,2,6,175500
11207,19/06/1950,2,3,413,802,2,5,185000
8400,22/04/1950,2,4,240,1052,1,8,179500
6900,23/04/1950,1,2,924,778,1,6,120500
7917,29/05/1950,1,3,504,1113,1,7,148000
10728,28/06/1950,2,3,1053,1095,3,5,266000
39104,07/05/1950,1,2,439,1363,2,7,241500
11764,21/06/1950,2,4,671,1164,3,7,290000
9600,11/05/1950,2,3,338,1632,1,6,139000
8314,04/06/1950,1,2,264,816,1,7,124500
7264,08/04/1950,2,3,672,952,2,7,205000
9196,25/06/1950,2,3,573,1560,2,5,201000
19138,04/05/1950,1,2,400,864,2,5,141000
14450,28/06/1950,2,3,732,2121,3,5,415298
10005,30/05/1950,2,4,505,1156,2,5,192000
11287,11/06/1950,2,3,575,1175,2,6,228500
7200,28/06/1950,2,2,572,1262,2,5,185000
5063,29/06/1950,2,2,626,1314,2,5,207500
9612,30/06/1950,2,3,898,1468,3,5,244600
8012,14/06/1950,2,2,529,1575,2,5,179200
4251,28/06/1950,2,2,528,625,2,5,164700
9786,15/05/1950,1,3,440,1085,2,7,159000
8125,24/05/1950,1,3,0,858,0,4,88000
9819,20/05/1950,1,3,280,900,1,5,122000
8730,29/03/1950,1,3,384,698,1,7,153575
15611,28/06/1950,2,3,685,1079,2,5,233230
5687,26/03/1950,2,6,0,936,0,6,135900
11409,02/05/1950,1,3,281,1148,1,4,131000
16659,30/05/1950,2,3,539,1468,2,7,235000
9600,06/05/1950,1,3,418,1644,2,5,167000
7937,06/06/1950,1,3,588,1003,2,6,142500
13710,03/05/1950,1,4,282,910,1,5,152000
7399,19/06/1950,2,3,576,975,2,5,239000
11700,21/05/1950,1,3,539,1041,2,6,175000
14000,03/05/1950,1,3,300,1152,1,8,158500
15750,06/05/1950,1,2,375,1336,1,5,157000
16226,20/06/1950,2,4,683,1210,2,5,267000
13704,23/06/1950,2,3,843,1541,3,5,205000
9800,25/05/1950,1,3,552,894,2,7,149900
18386,22/02/1950,3,3,870,1675,3,9,295000
10386,26/06/1950,2,3,888,2000,3,5,305900
13474,12/06/1950,2,4,746,NaN,3,5,225000
7920,03/04/1950,1,3,0,1035,0,7,89500
12342,23/04/1950,1,1,539,861,2,5,82500
12378,25/06/1950,2,3,708,1944,3,5,360000
7685,15/06/1950,2,3,420,697,2,5,165600
8000,01/05/1950,1,2,240,972,1,6,132000
7800,22/04/1950,1,3,410,793,2,7,119900
215245,18/05/1950,2,3,513,2036,2,5,375000
9600,08/04/1950,1,3,546,832,2,7,178000
7795,26/06/1950,2,3,432,716,2,5,188500
13005,02/06/1950,2,4,484,1153,2,7,260000
9000,28/06/1950,2,3,1025,1088,3,5,270000
9900,15/06/1950,2,4,656,1372,3,5,260000
14115,02/06/1950,2,3,588,1472,2,5,187500
16259,28/06/1950,3,4,840,1249,3,5,342643
12099,26/06/1950,2,4,872,1136,3,5,354000
10380,08/06/1950,2,4,576,1553,2,5,301000
5820,08/05/1950,1,3,220,1163,1,8,126175
11275,20/05/1950,2,5,564,1898,2,7,242000
5000,24/04/1950,1,2,360,803,2,6,87000
10846,15/06/1950,1,1,473,1719,2,5,324000
11600,13/05/1950,1,3,292,1383,1,5,145250
11888,30/03/1950,2,5,441,1445,2,6,214500
6402,03/04/1950,1,3,189,596,1,5,78000
10624,17/05/1950,2,6,352,1728,1,4,119000
8176,11/05/1950,1,3,308,1056,1,6,139000
10655,25/06/1950,2,3,880,1629,3,5,284000
8198,26/06/1950,2,2,484,1358,2,5,207000
9042,20/06/1950,2,3,472,943,2,5,192000
164660,18/05/1950,2,3,529,1619,2,6,228950
14157,27/06/1950,2,3,676,1922,3,5,377426
9135,24/06/1950,2,3,532,1536,2,5,214000
14145,06/06/1950,2,3,440,1621,2,7,202500
12400,11/05/1950,1,3,297,1215,1,7,155000
14191,24/06/1950,2,4,431,993,2,5,202900
8400,03/05/1950,1,2,294,841,1,4,82000
8544,02/05/1950,2,2,400,1040,Two,4,87500
8849,27/06/1950,2,2,564,1684,2,5,266000
2592,29/05/1950,1,3,336,536,1,3,85000
6435,22/04/1950,1,3,312,972,1,5,140200
12772,18396,1,2,301,958,1,8,151500
17600,13/05/1950,2,3,498,1478,2,5,157500
2448,25/06/1950,2,2,474,764,2,5,154000
20431,27/06/1950,2,4,706,1848,3,5,437154
7820,29/06/1950,2,2,617,1869,2,5,318061
5271,08/06/1950,1,2,445,1453,2,5,190000
9084,24/04/1950,1,3,200,616,1,6,95000
8520,11/04/1950,1,2,484,720,2,8,105900
8400,23/04/1950,1,2,240,1192,1,5,140000
11249,17/06/1950,2,3,521,1200,2,5,177500
9248,14/06/1950,2,3,400,1167,2,6,173000
4224,29/05/1950,1,3,528,1142,2,5,134000
6930,11/05/1950,1,3,288,1352,1,4,130000
12011,20/06/1950,2,3,592,1086,2,5,280000
7540,31/05/1950,1,2,470,912,2,6,156000
